年月,M1B月平均(億元),最大日成交金額_億元,M1B佔比_%
2015/01,"14,326,278","1,199.0",0.0084%
2015/02,"14,564,263","1,147.9",0.0079%
2015/03,"14,517,099","1,222.6",0.0084%
2015/04,"14,501,393","1,686.4",0.0116%
2015/05,"14,561,211","1,437.3",0.0099%
2015/06,"14,488,540","1,376.1",0.0095%
2015/07,"14,586,258","1,433.9",0.0098%
2015/08,"14,789,586","1,460.9",0.0099%
2015/09,"14,923,309","1,188.7",0.0080%
2015/10,"14,890,569","1,031.0",0.0069%
2015/11,"14,917,407","1,370.7",0.0092%
2015/12,"15,093,681",924.4,0.0061%
2016/01,"15,317,647","1,175.8",0.0077%
2016/02,"15,453,965",963.1,0.0062%
2016/03,"15,411,180","1,184.7",0.0077%
2016/04,"15,415,157",996.5,0.0065%
2016/05,"15,479,035","1,156.0",0.0075%
2016/06,"15,391,712","1,238.2",0.0080%
2016/07,"15,496,601","1,026.6",0.0066%
2016/08,"15,747,945",935.6,0.0059%
2016/09,"15,872,722","1,001.3",0.0063%
2016/10,"15,835,378",896.9,0.0057%
2016/11,"15,895,721","1,197.5",0.0075%
2016/12,"16,001,058",910.3,0.0057%
2017/01,"16,244,054",903.6,0.0056%
2017/02,"16,238,168","1,479.3",0.0091%
2017/03,"16,114,960","1,095.5",0.0068%
2017/04,"16,064,145","1,278.1",0.0080%
2017/05,"16,088,751","1,245.6",0.0077%
2017/06,"16,074,104","1,350.3",0.0084%
2017/07,"16,265,513","1,201.0",0.0074%
2017/08,"16,552,266","1,370.4",0.0083%
2017/09,"16,589,043","1,587.5",0.0096%
2017/10,"16,564,701","1,560.6",0.0094%
2017/11,"16,594,359","2,335.5",0.0141%
2017/12,"16,645,671","1,813.7",0.0109%
2018/01,"16,748,718","1,649.3",0.0098%
2018/02,"17,075,537","2,425.0",0.0142%
2018/03,"16,994,742","1,681.6",0.0099%
2018/04,"16,963,770","1,603.7",0.0095%
2018/05,"17,110,043","2,392.6",0.0140%
2018/06,"17,022,644","1,933.5",0.0114%
2018/07,"17,201,629","1,726.1",0.0100%
2018/08,"17,414,867","1,596.1",0.0092%
2018/09,"17,454,864","1,596.1",0.0091%
2018/10,"17,444,488","2,094.5",0.0120%
2018/11,"17,438,972","1,713.3",0.0098%
2018/12,"17,592,801","1,707.3",0.0097%
2019/01,"17,845,836","1,287.7",0.0072%
2019/02,"18,095,040","1,407.1",0.0078%
2019/03,"18,162,075","1,545.5",0.0085%
2019/04,"18,261,561","1,812.0",0.0099%
2019/05,"18,347,344","1,548.7",0.0084%
2019/06,"18,274,387","1,526.2",0.0084%
2019/07,"18,463,162","1,456.6",0.0079%
2019/08,"18,726,826","1,599.4",0.0085%
2019/09,"18,744,555","1,546.6",0.0083%
2019/10,"18,663,224","1,627.0",0.0087%
2019/11,"18,740,366","2,019.7",0.0108%
2019/12,"18,901,441","1,731.9",0.0092%
2020/01,"19,203,394","2,776.3",0.0145%
2020/02,"19,360,834","2,034.6",0.0105%
2020/03,"19,437,733","3,036.5",0.0156%
2020/04,"19,630,514","2,332.2",0.0119%
2020/05,"19,779,854","2,156.0",0.0109%
2020/06,"20,082,699","2,523.8",0.0126%
2020/07,"20,364,727","3,489.2",0.0171%
2020/08,"20,779,465","3,524.7",0.0170%
2020/09,"21,011,747","2,459.4",0.0117%
2020/10,"21,061,398","2,325.7",0.0110%
2020/11,"21,419,902","4,096.9",0.0191%
2020/12,"21,957,908","3,353.9",0.0153%
2021/01,"22,622,754","4,435.8",0.0196%
2021/02,"22,956,480","4,529.4",0.0197%
2021/03,"22,981,901","3,972.0",0.0173%
2021/04,"23,111,944","6,523.9",0.0282%
2021/05,"23,288,445","7,828.3",0.0336%
2021/06,"23,569,675","5,982.5",0.0254%
