market,type,peak_date,peak_pts,max_vol,vol_date,m1b,ratio,is_subtotal
上市,大泡,78.09.26,10843.96,1941.71,78.08.28,18675.0,10.4,False
上市,大泡,79.02.12,12682.41,2162.02,79.03.16,19658.0,11.0,False
上市,大泡,86.08.27,10256.1,2968.88,86.07.17,37161.0,7.99,False
上櫃,,86.08.06,348.5,299.2,86.08.05,36965.0,0.81,False
市場小計,,86.08,,3268.08,,,8.79,True
上市,中泡,87.02.27,9378.52,2776.92,87.02.06,38484.0,7.22,False
上櫃,,87.02.24,286.57,196.25,87.02.23,38484.0,0.51,False
市場小計,,87.02,,2973.17,,,7.73,True
上市,中泡,88.07.03,8710.71,2298.81,88.06.23,40495.0,5.68,False
上櫃,,88.05.11,184.08,120.47,88.04.10,39542.0,0.3,False
市場小計,,88.06,,2419.28,,,5.97,True
上市,中泡,89.02.18,10393.59,3256.01,89.01.11,45332.0,7.18,False
上櫃,,89.04.11,329.47,571.45,89.04.11,46928.0,1.22,False
市場小計,,89年度,,3827.46,,,8.44,True
上市,中泡,110.07.15,18034.19,7828.25,110.05.12,232884.0,3.36,False
上櫃,,110.07.27,225.05,1681.23,110.07.13,237605.0,0.71,False
市場小計,,110年度,,9509.48,,,4.08,True
上市,中泡,111.01.05,18619.61,3434.53,111.01.05,247580.0,1.39,False
上櫃,,111.01.03,238.92,954.92,111.01.07,247580.0,0.39,False
市場小計,,111年度,,4389.45,,,1.77,True
上市,中泡,113.07.11,24416.67,7244.81,113.04.19,273471.0,2.65,False
上櫃,,113.07.17,283.32,1664.16,113.03.07,274026.0,0.61,False
市場小計,,113年度,,8908.97,,,3.26,True
上市,中泡,115.04.15,42408.66,15240.13,115.05.06,300861.0,5.07,False
上櫃,,115.05.14,431.74,4274.49,115.05.06,300861.0,1.42,False
市場小計,,115年度,,19514.62,,,6.49,True
